aaab 昌明
tnlts 鞠躬盡力
tnlyj 前輩
tnmbr 夢露
tnmfd 並行不悖
tnmfs 勤則不匱
tnmgn 夢到
tnmii 夢魂
tnmk 前天
tnmki 夢魘
tnmkn 恭行天罰
tnmmc 瓶頸
tnmmc 前項
tnmne 前列腺
tnmnn 前列
tnmob 前事不忘，後事之師
tnmra 草行露宿
tnmtc 前頭
tnmwl 前面
tnnd 瓶子
tnni 前夕
tnnlu 前院
tnnnb 薄利多銷
tnntg 革凡登聖
tnnud 燕處危巢
tno 前人
tnoeg 典則俊雅
tnofk 華亭鶴唳
tnohg 前任
tnoip 前代
tnomn 前例
tnopc 前傾
tnoq 前年
tnown 萬事俱備，只欠東風
tnpqb 前情
tnpt 前世
tnqao 前提
tnqcp 萬箭攢心
tnqgv 前門拒虎，後門進狼
tnqkk 前奏
tnqkw 前奏曲
tnqo 前夫
tnqoy 前提下
tnr 瓶口
tnrbr 前哨站
tnrfb 前哨
tnrmb 前蹄
tnrti 夢囈
tnsfe 鞍前馬後
tnsfs 前驅
tnsjb 前臂
tnsov 驚風駭浪
tnsrd 鞠躬君子
tnstd 鞠躬屏氣
tntae 慈航普渡
tntbh 萬事萬物
tntcb 前期
tntgt 瓶蓋
tnthn 莉莉
tntjs 蓬門蓽戶
tntnh 前茅
tntps 苗鳳花方
tnvfe 前線
tnvfi 荊蠻
tnvfo 前緣
tnvgv 瓶裝
tnvhl 夢鄉
tnvik 前幾天
tnvis 夢幻
tnvlw 舊瓶裝新酒
tnvpi 驚風怒濤
tnvtc 前嫌
tnwk 前因
tnwmr 前置詞
tnybd 莫測高深
tnyhs 前邊
tnyhs 前方
tnyic 前述
tnylc 夢遺
tnylw 舊瓶新酒
tnymp 前此
tnymr 前言
tnynb 萬事亨通
tnyod 前途
tnyog 前進
tnyok 前夜
tnypa 前意識
tnyrr 夢話
tnytb 前端
tnytr 前站
tnyui 前導
tnyul 英風亮節
tnyyd 夢遊
toabd 薏苡明珠
toajd 蒙昧
tobbe 蒙受
tobff 歡騰
tobmd 美人胚子
tobni 蒙冤
tobpu 蒙胞
tobse 歎服
tobtv 欺罔
tobub 欺瞞
tobuo 欺矇
toddg 萬象森羅
toeap 蒙混
toebe 難以消受
toeib 難逃法網
toejd 蒙汗藥
toerr 養家活口
toevc 萍蹤浪跡
toevh 萍蹤浪影
tofbc 歎賞
tofkc 蕨類
toftf 萬家燈火
togbq 燕歌趙舞
togeq 歡欣鼓舞
togis 芝城
togna 茅茨土階
togrr 歡喜
tohaj 美人香草
tohcf 莫之與京
toheq 前歌後舞
tohhk 歡笑
tohiv 蒙特婁
tohjg 差之千里
tohkb 落人笑柄
tohkj 歡笑聲
tohlo 歡欣
tohmy 惹是生非
tohpf 前人種樹，後人乘涼
tohqm 欺生
tohub 前人失腳，後人把滑
tohui 勤儉自持
tohuo 欺人自欺
tohup 歎息
toicn 芝麻街
toifb 難以為情
toifi 難以為繼
toijc 芝麻
toime 欺凌
toioi 薏苡之讒
toiom 勤儉為服務之本
toios 薏苡之謗
toipg 蒙塵
toite 歡度
tojav 歡宴
tojbd 暮楚朝秦
tojia 黃人守日
tojil 薑是老的辣
tojko 敬人者人恆敬之
tojmu 萬人空巷
tojpf 前人栽樹，後人乘涼
tojr 蒙古
tojrk 蒙古族
tojrm 蒙古症
tojro 蒙古人
tojru 蒙古包
tokbu 其來有自
tokib 欺人太過
tokir 蒙太奇
tokiv 欺人太甚
tokno 歉疚
tokrr 芝加哥
tolnb 歡鬧
tombg 難以兩全
tomfg 歡聚一堂
tomfg 共聚一堂
tomfm 茅茨不翦
tomfo 萍蹤不定
tomfu 驚歎不已
tomfu 驚嘆不已
tomfw 萬夫不當
tomkg 欺壓
tomkl 萬象更新
tomos 萬夫不當之勇
tomp 萬眾一心
tompe 芙麗曼
tomtc 蒙頭
tomwl 蒙面
tonbc 欺負
tondh 農家子弟
tonru 藏之名山
too 欺人
toobr 養家餬口
toond 歎氣
tooni 前徒倒戈
toooy 欺侮
toorj 難以估計
toouu 蓬萊仙島
toovr 茶來伸手飯來張口
top 歡心
top 欺心
topak 欺軟怕硬
topcu 歡悅
topdk 歡快
tophr 蒙恬
topju 歎惋
topon 歡愉
topph 萊比錫
topqe 惹人憐愛
topta 歎惜
toqok 難以捉摸
toqqa 黃人捧日
toqry 惹是招非
toqtv 鑿飲耕食
toqxd 萬簽插架
toraa 歡唱
torhd 歡呼
torjc 落人口實
tormg 歡躍
toseo 歡聚
tosfb 蒙騙
tosfb 欺騙
tospe 難以忍受
totap 羨慕
totaw 芝蘭
totfk 蒙蔽
totjr 芙蓉
totkk 萬夫莫敵
totog 蒙難
totos 薏苡蒙謗
totov 蒙養
totqg 蒙羞
totwr 萊茵河
tovid 歡樂
tovlb 敬之如神明
tovlk 歉收
tovrk 歡娛
tovrr 甘之如飴
towcn 首足異處
towd 莢果
towkp 蒙恩
towkr 萊因河
towmr 難以置信
towra 萬象回春
toyhc 歡顏
toyhl 歡迎
toylr 歡迎詞
toym 蒙上
toynb 蕩檢逾閒
toyqa 美人遲暮
toyrg 欺誑
toyrn 難以言喻
toyrs 欺詐
toytk 歡送
toytp 歉意
toyur 羊入虎口
tpabj 慈暉
tpagv 黃花閨女
tpahb 羞花閉月
tpahn 革心易行
tpail 落花時節
tpam 花旦
tpaul 黃花晚節
tpbbe 慈愛
tpbcp 苦思冥想
tpbcu 甘心瞑目
tpbff 花縣
tpbiu 驚心眩目
tpbjm 花腔
tpbmi 花冠
tpbna 兼聽則明，偏信則暗
tpboo 花臉
tpbq 花用
tpbrh 花彫
tpbuv 惹眼
tpcid 花花公子
tpcii 花錢
tpcir 蘇花公路
tpck 慈父
tpcor 花鎗
tpcst 花盆
tpcvn 農民銀行
tpd 花木
tpdai 萱花椿樹
tpdgi 花樹
tpdje 花枝
tpdlb 花柳病
tpdld 花椰菜
tpdmk 花梗
tpdoo 惹來
tpdte 花樣
tpdtw 花木蘭
tpdye 花椒
tpdyg 花柱
tpedj 敬恭桑梓
tpejb 慈湖
tpemw 花酒
tpeoy 花海
tpeue 落花流水
tpewt 蔥油餅
tpf 惹火
tpfdh 花粉
tpfmu 花光
tpfnt 花燈
tpfqq 花拳
tpfwi 花燭
tpgi 花去
tpgou 惹起
tpgrr 恭喜
tpgte 花鼓
tpgvi 驚心喪魄
tpgym 花壇
tpha 花白
tphaf 花鳥
tphcp 苦心積慮
tphda 花香
tphdd 花季
tphep 前思後想
tphet 花盤
tphfm 花鳥畫
tphhk 蓋此身髮
tphii 花箋
tphij 花魁
tphlc 蕙質
tphmd 花生米
tphmw 花生油
tphnd 花朵
tphoi 惹得
tphqm 花生
tphrb 花和尚
tphrf 慈烏
tphs 花戶
tphsi 驚心動魄
tphss 花房
tphst 花籃
tphvo 花瓜
tphyn 慈航
tpicw 蓖麻油
tpifb 惹禍
tpifl 花神
tpifq 慈祥
tpifu 恭祝
tpifv 慈悲為懷
tpijc 蓖麻
tpinn 花序
tpiou 萬惡之首
tpipm 花式
tpisc 夢想成真
tpiyr 花店
tpjal 花都
tpjbp 暮想朝思
tpjcn 夢想顛倒
tpjcr 花容
tpjjb 花轎
tpjln 惹事
tpjpi 花蜜
tpjt 花卉
tpjwj 花車
tpkbo 黃龍痛飲
tpkbp 落花有意
tpkfb 落花有意，流水無情
tpkfe 草蛇灰線
tpkgt 華陀在世
tpkih 花花太歲
tpkiu 驚心奪目
tpklb 花布
tpklg 花在
tpkrc 恭賀
tpkrd 花架
tplbd 花蝴蝶
tplbu 勤能補拙
tplbv 花帳
tplde 花被
tplhh 藥籠中物
tpllc 恭順
tplll 花片
tplnc 花費
tplpi 驚心悲魄
tplui 驚心褫魄
tplyp 慈悲
tpmbq 斯德哥爾摩
tpmbt 華佗再世
tpmer 驚心破膽
tpmfu 惹不起
tpmg 花王
tpmgv 花環
tpmhm 萬死一生
tpmjd 善罷干休
tpmod 萬應靈藥
tpmrc 難能可貴
tpmre 花露水
tpmtc 蔥頭
tpmtc 花頭
tpmvr 驚心裂膽
tpnau 花色
tpnd 靴子
tpnd 花子
tpnir 慕名
tpnir 花名
tpnmq 美意延年
tpnoa 苦心孤詣
tpnol 曲意承迎
tpo 惹人
tpocf 萬念俱灰
tpofg 芳心無主
tpog 善心人士
tpolk 恭候
tpomk 惹人厭
tpoml 慈命
tpond 惹氣
tpotj 驚蛇入草
tpp 慈心
tpp 花心
tppbf 甘心情原
tppcu 驚心怵目
tpphu 驚心慘目
tppjr 驚心悼膽
tppqc 敬老憐貧
tpptc 敬老恤貧
tpptl 花花世界
tpqfu 花捲
tpqhp 花托
tpqql 曲意奉迎
tpqsr 花招
tpqwl 花押
tpqyj 花掉
tprbi 驚心吊魄
tprbr 驚心吊膽
tprmj 歎老嗟卑
tpshl 花匠
tpsoi 驚心駭矚
tpsol 驚心駭神
tpsor 驚愚駭俗
tpsou 藏龍臥虎
tpsou 驚心駭目
tpspf 慕尼黑
tpspn 觀化聽風
tptaj 花草
tptaw 蕙蘭
tptcb 花期
tptce 花叢
tptgi 慕義
tpthp 蔥蔥
tptic 敬老尊賢
tptjb 花蓮市
tptjf 花蓮縣
tptju 花蓮港
tptkd 恭敬地
tptkk 恭恭敬敬
tptmc 花黃
tptmd 善罷甘休
tptmf 蔥蒜
tptmw 花蕾
tptod 花茶
tptop 蔥花
tptpg 敬老慈稚
tptph 敬老慈少
tptpm 蘭心蕙性
tptpp 花蕊
tptps 敬老慈幼
tptpu 花苞
tptra 其應若響
tptrk 恭敬
tptro 慈善家
tptrs 花萼
tptru 若隱若現
tpttn 花瓶
tpttr 慈善
tptvi 花葯
tptvo 薏苡
tptwc 蕙心蘭質
tptwv 花農
tptyj 花蓮
tpubr 花崗岩
tpubr 花崗石
tpuoc 蔥嶺
tpuu 惹出
tpuuo 惹出來
tpvee 花花綠綠
tpvfe 蔥綠
tpvff 花花絮絮
tpvfg 恭維
tpvfk 花紋
tpvfm 花紅
tpvic 蕙心紈質
tpvis 慈幼
tpvra 其應如響
tpvrf 花絮
tpvrx 甘心如薺
tpwd 花果
tpwfu 花圈
tpwgv 花園
tpwib 花圃
tpwl 花甲
tpwyi 慈母
tpybu 散慮逍遙
tpyhc 慈顏
tpyhl 恭迎
tpyhs 花邊
tpyjj 花瓣
tpyjl 曲意逢迎
tpyky 養老送終
tpylb 花市
tpylr 曲意迎合
tpym 花上
tpyrb 恭請
tpyrc 恭讀
tpyrm 恭謹
tpyrv 恭謁
tpysc 花旗
tpytg 花童
tqbah 羊腸
tqbdu 羊乳
tqbpa 羊脂
tqbtk 羊膜
tqdep 羊皮紙
tqdhe 羊皮
tqdm 摹本
tqe 羊水
tqffb 燕舞鶯啼
tqffo 燕舞鶯歌
tqgec 對牛鼓簧
tqhma 著手生春
tqhmp 夢筆生花
tqhqu 羊毛
tqhso 驚群動眾
tqhua 羊毛脂
tqhuh 羊毛衫
tqhuv 羊毛衣
tqisa 著手成春
tqjco 菲律賓人
tqjcy 菲律賓海
tqjhf 摹寫
tqjqu 菲律賓群島
tqkcn 羊癲瘋
tqmdp 荀羊于惠
tqmk 擎天
tqmkg 擎天柱
tqmtc 羊頭
tqnbg 羊角
tqniw 羝羊觸籓
tqnjn 對牛彈琴
tqobo 羊肉
tqofm 萬年無疆
tqomr 羊舍
tqoq 羊年
tqoyp 善解人意
tqoys 摹仿
tqqpo 摹擬
tqqyb 羚羊掛角
tqsrq 羊群
tqtgf 羊羔
tqtgh 難解難分
tqtgk 羊羹
tqtir 蘚苔
tqtjm 韃靼
tqtmd 普降甘霖
tqvxv 花拳繡腿
tqymu 羊齒
tqyon 摹刻
tqyps 韃虜
tqyru 羊毫
tra 落日
trabj 落暉
tramo 若是
trand 苦日子
tranp 苦悶
trarf 落照
trbbu 花容月貌
trbck 落敗
trbcl 落腳
trbii 美如冠玉
trbio 歡喜冤家
trbkf 蒼然
trbm 苟且
trbmc 茗具
trbmr 苟同
trbq 善用
trbvk 藥石罔效
trbvm 欺君罔上
trcbj 花營錦陣
trcbs 荷鋤
trcog 歡喜欲狂
trcoi 警鈴
trctw 義結金蘭
trcyg 警鐘
trdap 警棍
trdav 善根
trdci 蒼松
trddo 苦楚
trdh 善才
trdib 慈善機構
trdjg 敬陪末座
trdm 善本
trdof 艱苦樸素
trduj 對口相聲
trduw 苦苦相逼
trdys 落榜
tre 落水
tre 苦水
trehg 落湯雞
trehk 落淚
trehr 苟活
trejb 落潮
trekr 落水狗
tremw 苦酒
treoy 蒼海
treoy 落海
treoy 苦海
tresm 苦澀
treui 萬古流傳
treun 茹古涵今
treur 萬古流名
treus 萬古流芳
trevp 苦口婆心
treyf 蒼涼
trfbg 善堂
trffb 燕語鶯啼
trffi 燕侶鶯儔
trffj 燕語鶯聲
trfhu 黃口小兒
trfkc 善類
trfmu 莒光
trfua 莒光日
trfuu 莒光號
trg 善士
trgdw 落地窗
trger 警報器
trgfo 落款
trgje 警報
trgje 善報
trgpd 落地
trgys 茗坊
trha 蒼白
trhai 落魄
trhai 蒼狗白雲
trhav 蒼狗白衣
trhbd 苦學
trhbu 警覺
trhbv 葉落歸根
trhcq 善舉
trhdk 警官學校
trhdk 華語學校
trhec 前瞻後顧
trhep 前倨後恭
trhgk 兼官重紱
trhgn 前言往行
trhgr 警告
trhhk 苦笑
trhii 藏器待時
trhjf 萬古千秋
trhjj 萬苦千辛
trhjn 尊古卑今
trhjr 萬語千言
trhlq 落筆
trhlw 警笛
trhna 苦行僧
trhng 警衛室
trhnh 落第
trhoe 落後
trhoe 善後
trhoe 苦役
trhoi 落得
trhoi 善待
trhoi 苟得
trhoi 苛待
trhon 警衛
trhon 善行
trhon 苦行
trhpp 勸善懲惡
trhqa 落籍
trhqm 蒼生
trhs 落戶
trhsl 警所
trhum 警覺性
trhun 警覺到
trhup 警覺心
trhvo 苦瓜
trhwj 警笛聲
trhws 萬古留芳
triav 善良
trigg 落塵量
trigm 甚囂塵上
trihs 落成
trije 苛求
trik 警犬
triod 首善之地
triof 蒼鷹
triop 難言之隱
trios 首善之區
tripg 落塵
trirp 善感
trirp 苦感
trit 警戒
tritc 警廣
trite 警戒線
tritp 勸善戒惡
tritu 警戒色
trjbf 警察
trjcj 荷槍實彈
trjcm 落空
trjcn 蒼穹
trjdj 前古未聞
trjdj 鄭昭宋聾
trjfg 警察權
trjfo 警察隊
trjfp 警察廳
trjfs 警察局
trjhr 落落寡合
trjir 善哉
trjjj 苦幹
trjkp 蒼老
trjlk 苛吏
trjln 善事
trjln 苦事
trjmd 落翅仔
trjnd 慈善事業
trjno 蓋棺事定
trjob 蓋棺定論
trjrr 警官
trjtk 落寞
trjv 苟安
trjwc 落實
trjwj 警車
trkfr 莫可奈何
trkir 慈禧太后
trklg 落在
trkm 羊舌.微生
trknb 苦痛
trkrh 莫名奇妙
trks 警力
trks 苦力
trksr 善加
trkwn 艱苦奮鬥
trkys 落落大方
trlga 善書
trliu 蒼蠅
trlmm 斠若畫一
trlmy 若非
trlpj 義膽忠肝
trlup 蒼蠅紙
trm 苦工
trmbj 萬口一辭
trmbo 荷爾蒙
trmbo 慕名而來
trmer 前言不對後語
trmff 若不然
trmff 落拓不羈
trmff 萬古不滅
trmiu 落磯山
trmj 若干
trmjr 散言碎語
trmk 蒼天
trmka 警政署
trmks 苦功
trmky 鞭笞天下
trmky 兼善天下
trmlb 落雨
trmlb 苦雨
trmmf 警示
trmmk 警政
trmmk 善政
trmmk 苛政
trmmp 善惡
trmms 蒼勁
trmpp 善善惡惡
trmpr 苦口惡石
trmsr 花言巧語
trmtc 苦頭
trmtn 苦刑
trmwm 警醒
trmwv 若要
trmy 落下
trmyr 萬口一詞
trnau 苟免
trnbd 黃口孺子
trnd 茄子
trneh 恭喜發財
trnhs 警務
trnn 落了
trnrk 莫可名狀
trnsn 警務處
tro 落入
tro 善人
tro 荷人
trobj 警備車
trobj 苦肉計
trobo 警備隊
troiy 善始令終
trojk 若使
trolh 苦修
tromg 苟全
troml 苦命
tromm 落伍
tromr 苟合
tromr 若何
troog 落坐
trool 草菅人命
trop 善化
tropc 善化鎮
trorf 葉落知秋
trorj 茹苦含辛
trotb 警備
trouk 苦缺
trp 善心
trp 苦心
trpah 警惕
trpap 欺善怕惡
trpr 警句
trpru 荷包
trpt 警世
trpui 荷包蛋
trpvw 苦惱
trqao 菩提
trqbd 警探
trqfh 苦撐
trqju 對客揮毫
trqmc 苛責
trqmf 茹素
trqmr 落拓
trqnr 荷擔
trqod 菩提子
trqoi 菩提樹
trqrm 井管拘墟
trqtm 蘇格拉底
trqub 勸善規過
trr 苦口
trrbc 警員
trrip 舊石器時代
trrjd 苦味
trrji 善戰
trrji 苦戰
trrrj 落單
trrrr 苦哈哈
trrsu 警號
trshk 落髮
trsmj 蒼翠
trsmv 警長
trsqf 荷馬
trssr 警局
trsva 萬古長春
trsvb 萬古長青
trsvd 萬古長存
trtab 落幕
trtaw 荷蘭
trtch 莫名其妙
trtcu 兼容並包
trtcw 兼容並蓄
trtdi 落葉樹
trtev 蒼茫
trtgh 難捨難分
trtgs 苦勸
trtid 英名義氣
trtin 慕古薄今
trtlk 落英
trtmc 蒼黃
trtmn 苦差事
trtmw 蓓蕾
trtnm 菩薩
trtnq 苔蘚
trtod 茗茶
trtod 苦茶
trtog 落難
trtog 苦難
trtop 落花
trtop 荷花
trtor 蒼蒼
trtpd 落葉
trtpd 荷葉
trtpm 落花生
trtqm 落差
trtry 善始善終
trttv 蓽路藍縷
trttv 蓽露藍蔞
trtvr 蘑菇
trtwo 荷蘭人
trtyu 落荒
trubu 警崗
truhn 落山風
truue 芙蓉出水
trvbd 藏垢納汙
trvbs 藏垢納污
trvdf 燕昭好馬
trvfb 落網
trvfk 善變
trvfo 善緣
trvfp 警總
trvfp 苦戀
trvfw 苦練
trvfy 善終
trvid 苦樂
trvru 對答如流
trwd 若果
trwd 苦果
trwla 警署
trwol 警界
trwp 善思
trwp 苦思
trwup 勸善黜惡
trybe 並容遍覆
trybe 燕昭市駿
trybo 蓋棺論定
tryg 苦主
tryhc 蒼顏
tryhs 警方
tryii 善導寺
tryjj 善辯
tryju 艱苦卓絕
trykd 驚喜交集
trykr 驚喜交加
trylv 苦衷
trymr 善言
trymr 苟言
trymr 苦言
tryon 苛刻
trypm 苛虐
trypn 苦處
tryrc 落選
tryrj 警訊
tryrr 警語
tryrw 苦諫
trysy 善於
trysy 苦於
trytp 善意
tryur 羊落虎口
tryve 苦苦哀求
tryvh 燕石妄珍
tryvp 善忘
tsanr 勘問
tsbbu 勘亂
tsbcc 勒贖
tsbdu 並驅爭先
tsbpu 藏胞
tsbvp 勤懇
tschj 藏鋒
tsdam 勘查
tsdje 荔枝
tsdto 勤樸
tsebn 勘測
tsemw 勸酒
tseuh 夢幻泡影
tseuu 其勢洶洶
tsewj 芳澤
tsffl 燕妒鶯慚
tsffs 勤勞
tsfql 芳鄰
tsgea 芳馨
tsgfo 募款
tsguo 藏起來
tshbd 勤學
tshca 蒙藏委員會
tshda 芳香
tshdd 藏藏躲躲
tshdi 藏私
tshdr 勸和
tshgr 勸告
tshie 蓄勢待發
tshih 著作等身
tshjn 萬戶千門
tshoi 募得
tshxh 藏身
tsibp 苞藏禍心
tsipg 芳塵
tsit 勸戒
tsjbf 勘察
tsjbf 勒索
tsjkb 義務教育
tsjmc 藏寶
tskow 勤奮
tskrd 勸架
tslaf 藏書票
tslga 藏書
tsltd 前功盡棄
tsltf 前功盡滅
tsmep 美男破老
tsmfe 萬劫不復
tsmfg 藏不住
tsmii 芳魂
tsmmv 芳辰
tsmnp 勒死
tsmr 勒石
tsnbq 勸解
tsnhs 勤務
tsnir 芳名
tsnlm 勸阻
tsnre 芳名錄
tsnsc 勤務兵
tsnus 勸勉
tsnus 勤勉
tso 藏人
tsocn 募兵制
tsogd 募集
tsoii 勒令
tsomc 募兵
tsooo 勤儉
tsop 勸化
tsorv 善男信女
tsoyg 勒住
tsp 芳心
tspdk 勤快
tsqbd 勘探
tsqbu 藏青色
tsqmb 藏青
tsqrb 募捐
tsquu 藏拙
tsrmo 芳蹤
tsrvp 莠民
tssfo 勘驗
tssip 勸慰
tssqf 勒馬
tsstr 藏匿
tstaj 芳草
tstas 勸募
tstcd 勸業
tstct 落成典禮
tstjr 勤苦
tstmj 芳華
tstnu 芳苑
tstsa 勸募者
tsttr 勸善
tsvbr 藏污納垢
tsvfm 藏經
tsvfw 勤練
tsvhb 藏嬌
tsvmg 業務經理
tsvvf 勘災
tsyk 藏文
tsykv 勘誤表
tsylj 花邊新聞
tsynb 蓬戶甕牖
tsyrj 芳訊
tsyrk 勘誤
tsyrm 勤謹
tsyrr 藏語
tsyrs 勸誘
tsyru 勸說
tsyrw 勸諫
tsysk 藏族
tsyui 勸導
tsyui 芳齡
ttavh 暮禮晨參
ttbkf 井然
ttbuo 歡迸亂跳
ttdea 藍皮書
ttdhe 蓋板
ttdm 藍本
ttdmi 蓋益桓公
ttduf 萁豆相煎
tte 井水
ttebb 蘆溝橋
ttebw 槊血滿袖
ttede 藍波
tteil 蘆洲
ttera 蓋洛普
tteto 莽漢
ttetr 欺世盜名
tteue 蘊涵
ttfef 薪盡火滅
ttfoi 薪盡火傳
ttgni 益壽
ttgou 蓋起
ttguo 蓋起來
tth 蘆竹
tthaf 益鳥
tthbv 萬世師表
tthpa 蘆筍
tthpl 蓋印
tthto 苦盡甜來
tthxh 葬身
ttiek 美益求美
ttift 葬禮
ttill 并州
ttjcr 藍寶石
ttkba 井井有緒
ttkbd 井井有條
ttkbi 井井有法
ttkbn 井井有序
ttkbs 井井有方
ttke 益友
ttkid 蓋世太保
ttkrd 井架
ttksr 益加
ttlhm 華燈初上
ttlig 井蛙
ttlii 益蟲
ttmai 萬世一時
ttmfb 蓋爾
ttmgb 蓋瑞
ttmhf 莽原
ttmk 藍天
ttmkr 并吞
ttmmc 草廬三顧
ttmml 蓋亞那
ttmnc 蓋頂
ttmtc 蓋頭
ttmvr 驚世震俗
ttmwv 蘊釀
ttmyd 對證下藥
ttmyr 落井下石
ttmyr 落阱下石
ttnau 藍色
ttnd 蓋子
ttnoe 益發
ttoal 芮羿儲靳
ttoaw 益智圖
ttofb 並世無兩
ttofe 蓋世無雙
ttofm 萬世無疆
ttoic 藍領
ttoig 葬儀社
ttoir 蘊含
ttora 益智
ttoti 葬儀
ttove 葫蘆依樣
ttoyg 蓋住
ttpt 蓋世
ttqbo 煎豆摘瓜
ttqer 落井投石
ttqgg 莽莽撞撞
ttqmb 藍青
ttqo 莽夫
ttqyg 莽撞
ttsac 善盡職責
ttslr 蒞臨
ttsor 驚世駭俗
ttsou 驚世駭目
ttswt 井鹽
tttaj 莽草
tttch 曲盡其妙
tttdq 蘆葦
tttik 普立茲獎
tttis 蘊藏
tttit 莽莽
tttkg 草莽英雄
tttmo 苦盡甘來
tttoa 蘆薈
tttop 蘆花
tttqa 蘊藉
tttsg 蘊藏量
ttvba 鑿楹納書
ttvfe 藍綠
ttvfv 藍縷
ttvnd 蓋好
ttvue 首開紀錄
ttvur 驚世絕俗
ttw 井田
ttwrw 藍圖
ttykj 葬送掉
ttym 蓋上
ttypn 益處
ttyrb 藍調
ttyrm 觀世音菩薩
ttytj 蓋章
ttytk 葬送
tua 觀日
tuaib 戡亂時期
tuaiv 蒿目時艱
tualk 首映
tuarf 觀照
tubkk 萬目睽睽
tubrp 養虎貽患
tubsd 觀光勝地
tubur 觀瞻
tubuu 覲見
tubvw 首腦
tuclc 黃毛丫頭
tudbu 首相
tuddi 荒村
tudue 首尾相援
tudui 首尾相繼
tuduj 首尾相連
tudun 首尾相衛
tudup 首尾相應
tudvi 靶機
tuebg 荒淫
tuebn 觀測
tuedg 驚起梁塵
tuenc 觀測員
tuenr 觀測站
tueoy 觀海
tuetk 荒漠
tueyf 荒涼
tuf 觀火
tuf 藐小
tufbc 觀賞
tufcf 觀賞魚
tufmu 觀光
tufud 觀光業
tufud 觀光季
tufuj 觀光科
tufur 觀光客
tufus 觀光區
tufus 觀光局
tufuw 觀光團
tufyu 黃色小說
tug 荒土
tugah 靶場
tugbo 荒塚
tugpd 荒地
tugra 黃道吉日
tugrw 蓬首垢面
tuhal 瓶沈簪折
tuhau 荒島
tuhcp 養虎自遺患
tuhen 前危後則
tuhgr 首告
tuhgu 首先
tuhlw 羌笛
tuhoa 驚慌失措
tuhoo 首從
tuhou 驚慌失色
tuhqu 觀看
tuhrf 養虎自貽災
tuhsi 養兒待老，積穀防饑
tuhui 養虎自殘
tuhup 養虎自斃
tuhuu 養虎自齧
tuhwp 養虎留患
tuhyn 首航
tuicq 觀摩
tuift 觀禮
tuift 覲禮
tuifu 藐視
tuilr 荒唐
tuine 荒廢
tuiog 首座
tuioi 首府
tuiok 莫逆之交
tuiop 瓶罍之恥
tuior 燕岱之石
tuir 觀台
tuirp 觀感
tuitb 首席
tuite 首度
tujal 首都
tujbf 觀察
tujbk 暮虢朝虞
tujfa 觀察者
tujfc 觀察員
tujfn 觀察到
tujfo 觀察家
tujfs 觀察力
tujfu 觀貌察色
tujif 兼覽博照
tujjb 首輪
tujka 基督教會
tujko 基督教徒
tujmw 首富
tujnd 觀光事業
tujqh 蔣沈韓楊
tukfb 荒瘠
tukhu 首犯
tukrh 黃袍加身
tukrt 黃袍加體
tukys 美觀大方
tulau 基督書院
tulgc 苑裡鎮
tumbc 首頁
tumbo 落荒而逃
tumfb 莞爾
tumfh 其貌不揚
tumgt 巷弄
tumhf 荒原
tumho 葡萄牙人
tumjk 若出一轍
tumjn 若出一軌
tumks 首功
tummk 荒政
tummo 首次
tummp 首惡
tumqa 首屈一指
tumue 觀山玩水
tumwv 首要
tunao 觀象
tunau 觀色
tund 靶子
tund 巷子
tunmu 荒疏
tunog 觀象臺
tunsi 養兒防老，積穀防饑
tunsp 養兒防老
tuoaa 首倡
tuofa 驚慌無措
tuofw 其道無由
tuogs 難竟全功
tuohh 養虎傷身
tuoib 首飾
tuoic 首領
tuoig 對號入座
tuoip 觀念
tuoiv 蔬食
tuolu 范仲淹
tuom 首丘
tuoot 茹毛飲血
tuoq 荒年
tuorn 首創
tuosi 養兒代老，積穀防饑
tuosj 荒僻
tuoyt 首位
tup 靶心
tupkj 對號快車
tupta 觀世音
tuqad 蒼蠅拍子
tuqbt 黃卷青燈
tur 巷口
turaa 首唱
turji 觀戰
turji 巷戰
tushu 首尾
tusmv 首長
tusmv 茁長
tusoj 驚見駭聞
tusug 首屆
tusvd 典範長存
tutab 蕭規曹隨
tutaj 荒草
tutbd 蔬菜
tutbd 莧菜
tutbu 藐藐
tutcr 兼包並容
tutcw 兼包並畜
tutfm 芭蕉扇
tutgh 難兄難弟
tutgi 首義
tutja 苜蓿
tutjp 花貌蓬心
tutln 薩克斯風
tutmw 芭蕾
tutnx 菡萏
tutof 荒蕪
tutof 芭蕉
tutru 慈眉善目
tutrv 善眉善眼
tuttr 首善
tutwq 芭蕾舞
tutwv 養銳蓄威
tuu 荒山
tuuec 叢山峻嶺
tuuhm 羊毛出在羊身上
tuvfe 首級
tuvid 芭樂
tuvmg 茁壯
tuw 荒田
tuwd 蔬果
tuwfr 觀點
tuwgn 荒野
tuwkb 苑囿
tuwlo 觀眾
tuwup 瓶罄罍恥
tuyau 觀音山
tuybg 觀望
tuycp 養虎遺患
tuyeo 觀護人
tuykl 荒郊
tuylm 觀止
tuymb 首肯
tuyod 首途
tuyrd 首謀
tuyre 觀護
tuyrh 荒謬
tuyri 巷議
tuyrm 荒誕
tuyta 觀音
tuytu 巷道
tuyur 甘冒虎口
tuyuv 觀眉說眼
tuyvf 其道亡繇
tuyvr 觀光旅館
tvagi 農時
tvajd 茫昧
tvamo 甚是
tvanb 農閒
tvaoy 養晦
tvbau 養肥
tvbgh 養雞場
tvbkf 藹然
